,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max Temp,Wind Speed,Latitude,Longitude
0,Baymak,80,RU,1551851098,92,,,31,14,52.0,58.0
1,Puerto Quijarro,36,BO,1551851099,76,,,80,3,-19.0,-57.0
2,Baykit,36,RU,1551851099,68,,,17,11,61.0,96.0
3,Saint-Philippe,75,CA,1551851097,78,,,15,10,45.0,-73.0
4,Port Elizabeth,1,US,1551851071,63,,,28,13,39.0,-74.0
5,Kefamenanu,48,ID,1551851099,97,,,74,2,-9.0,124.0
6,Mount Isa,40,AU,1551848400,16,,,96,12,-20.0,139.0
7,Carnarvon,0,ZA,1551851099,31,,,64,2,-30.0,22.0
8,Hithadhoo,32,MV,1551851100,100,,,80,7,0.0,73.0
9,Freeport,68,BS,1551851100,100,,,69,19,26.0,-78.0
10,Saskylakh,80,RU,1551851101,84,,,2,7,71.0,114.0
11,Mar del Plata,76,AR,1551851101,53,,,63,28,-46.0,-67.0
12,Albany,20,US,1551850926,56,,,18,7,42.0,-73.0
13,Kaseda,75,JP,1551850328,100,,,59,9,31.0,130.0
14,Esparta,40,HN,1551848400,88,,,73,2,15.0,-87.0
15,Sao Filipe,0,CV,1551851102,97,,,70,17,14.0,-24.0
16,Saratoga Springs,90,US,1551851082,65,,,16,9,43.0,-73.0
17,New Norfolk,40,AU,1551851055,58,,,55,3,-42.0,147.0
18,Kodiak,1,US,1551851020,43,,,12,8,39.0,-94.0
19,Tezu,92,IN,1551851103,96,,,52,0,27.0,96.0
20,Airai,56,TL,1551851103,95,,,76,1,-8.0,125.0
21,Yellowknife,5,CA,1551850969,84,,,1,5,62.0,-114.0
22,Provideniya,0,RU,1551848400,63,,,28,17,64.0,-173.0
23,Manta,48,RO,1551851103,85,,,35,2,45.0,24.0
24,Hami,64,CN,1551851104,48,,,51,10,42.0,93.0
25,Hasaki,75,JP,1551850476,76,,,59,9,35.0,140.0
26,Fortuna,40,ES,1551851091,87,,,57,4,38.0,-1.0
27,Haren,75,NL,1551851092,100,,,44,11,53.0,6.0
28,Libreville,90,GA,1551848400,100,,,73,9,0.0,9.0
29,Lufilufi,75,WS,1551850986,88,,,80,5,-13.0,-171.0
30,Karakol,12,KG,1551851105,89,,,29,1,42.0,78.0
31,Russell,75,AR,1551848400,72,,,68,2,-33.0,-68.0
32,Ushuaia,20,AR,1551848400,100,,,39,5,-54.0,-68.0
33,Saldanha,92,PT,1551851106,97,,,48,18,41.0,-6.0
34,Qaanaaq,48,GL,1551851106,77,,,-8,5,77.0,-69.0
35,Ust-Tsilma,88,RU,1551851106,83,,,17,4,65.0,52.0
36,Fairbanks,1,US,1551850856,72,,,26,6,64.0,-147.0
37,Port Lincoln,0,AU,1551851106,87,,,64,13,-34.0,135.0
38,Korhogo,0,CI,1551851107,48,,,65,4,9.0,-5.0
39,Georgetown,20,GY,1551848400,94,,,73,4,6.0,-58.0
40,Busselton,80,AU,1551850813,20,,,84,9,-33.0,115.0
41,Lardos,20,GR,1551847800,76,,,55,3,36.0,28.0
42,Hilo,90,US,1551850939,77,,,70,14,19.0,-155.0
43,Twin Falls,90,US,1551850830,93,,,36,19,42.0,-114.0
44,Rikitea,44,PF,1551851108,96,,,81,16,-23.0,-134.0
45,Pevek,80,RU,1551851109,84,,,5,4,69.0,170.0
46,Kapaa,75,US,1551850697,82,,,71,21,22.0,-159.0
47,Vaini,0,IN,1551848400,24,,,80,3,15.0,74.0
48,Bonavista,0,CA,1551850247,76,,,23,15,48.0,-53.0
49,Jamestown,0,AU,1551851109,77,,,62,12,-33.0,138.0
50,Jalu,0,LY,1551851110,76,,,45,2,29.0,21.0
51,Cidreira,68,BR,1551851110,97,,,73,4,-30.0,-50.0
52,Punta Arenas,90,CL,1551850990,86,,,41,4,-53.0,-70.0
53,Bredasdorp,0,ZA,1551850271,88,,,69,2,-34.0,20.0
54,Chuy,88,UY,1551851110,97,,,69,7,-33.0,-53.0
55,Sao Joao da Barra,48,BR,1551851110,100,,,81,16,-21.0,-41.0
56,Mattawa,1,CA,1551850816,100,,,-3,8,46.0,-78.0
57,San Cristobal,90,EC,1551851102,87,,,59,3,0.0,-78.0
58,Redmond,1,US,1551851036,44,,,41,5,47.0,-122.0
59,Mataura,0,NZ,1551851111,28,,,76,18,-46.0,168.0
60,Namibe,12,AO,1551851111,100,,,78,3,-15.0,12.0
61,Sulangan,0,PH,1551851111,96,,,82,9,11.0,123.0
62,Mindelo,75,PT,1551851041,100,,,55,18,41.0,-8.0
63,Bluff,44,AU,1551851112,47,,,89,9,-23.0,149.0
64,Nome,1,US,1551851107,74,,,42,3,30.0,-94.0
65,Bambous Virieux,40,MU,1551851044,66,,,84,8,-20.0,57.0
66,Mackay,5,CA,1551848400,71,,,8,2,53.0,-115.0
67,Praia,80,BR,1551851112,97,,,63,2,-20.0,-43.0
68,Port Macquarie,20,AU,1551851045,34,,,95,12,-31.0,152.0
69,Tuktoyaktuk,5,CA,1551848400,77,,,0,8,69.0,-133.0
70,Khatanga,80,RU,1551851113,85,,,2,3,71.0,102.0
71,Marovoay,40,MG,1551848400,94,,,75,2,-16.0,46.0
72,Karatau,88,KZ,1551851113,79,,,32,3,43.0,70.0
73,Castro,90,CL,1551848400,100,,,55,20,-42.0,-73.0
74,Hermanus,0,ZA,1551850271,89,,,66,1,-34.0,19.0
75,Avarua,48,CK,1551850200,73,,,77,4,-21.0,-159.0
76,Tastur,36,TN,1551848400,93,,,46,2,36.0,9.0
77,Uppsala,68,SE,1551851063,92,,,15,2,59.0,17.0
78,Ponta do Sol,20,BR,1551851114,90,,,64,2,-20.0,-46.0
79,Lompoc,90,US,1551850853,87,,,55,9,34.0,-120.0
80,Los Llanos de Aridane,76,ES,1551848401,77,,,60,6,28.0,-17.0
81,Jiangyou,92,CN,1551851114,71,,,52,6,31.0,104.0
82,Arraial do Cabo,20,BR,1551851114,98,,,78,12,-22.0,-42.0
83,Chiang Rai,20,TH,1551850727,40,,,93,6,19.0,99.0
84,Narsaq,88,GL,1551847800,31,,,33,36,60.0,-46.0
85,Tiksi,56,RU,1551851115,71,,,12,10,71.0,128.0
86,East London,0,ZA,1551848400,78,,,73,12,-33.0,27.0
87,Kendari,88,ID,1551851115,87,,,80,3,-3.0,122.0
88,Ilulissat,8,GL,1551847800,60,,,10,4,69.0,-51.0
89,Cape Town,0,ZA,1551851115,93,,,69,3,-33.0,18.0
90,Arlit,0,NE,1551851116,50,,,54,3,18.0,7.0
91,Isangel,75,VU,1551848400,66,,,89,8,-19.0,169.0
92,Iqaluit,5,CA,1551850966,74,,,-22,9,63.0,-68.0
93,Ulladulla,75,AU,1551851106,41,,,80,23,-35.0,150.0
94,Atuona,56,PF,1551851116,100,,,80,16,-9.0,-139.0
95,Flin Flon,48,CA,1551850925,61,,,3,9,54.0,-101.0
96,Longyearbyen,75,NO,1551847800,63,,,-5,11,78.0,15.0
97,Aksu,90,KZ,1551850200,85,,,24,11,52.0,76.0
98,Lavrentiya,92,RU,1551851117,95,,,28,9,65.0,-170.0
99,Sorland,40,NO,1551849600,68,,,30,17,67.0,12.0
100,Clyde River,90,CA,1551848400,83,,,-5,10,70.0,-68.0
101,Severo-Kurilsk,68,RU,1551851117,100,,,23,17,50.0,156.0
102,Muros,75,ES,1551851115,93,,,55,18,42.0,-9.0
103,Jagodina,90,RS,1551848400,100,,,39,1,43.0,21.0
104,Victoria,75,BN,1551850200,59,,,91,4,5.0,115.0
105,Sibolga,20,ID,1551851118,85,,,82,1,1.0,98.0
106,Nanortalik,48,GL,1551851118,100,,,27,48,60.0,-45.0
107,Lumphat,0,KH,1551851118,43,,,91,3,13.0,106.0
108,Iquique,0,CL,1551848400,73,,,69,11,-20.0,-70.0
109,Magway,80,MM,1551850946,58,,,81,1,20.0,94.0
110,Kaitangata,0,NZ,1551851024,73,,,66,7,-46.0,169.0
111,Masuguru,64,MZ,1551851119,96,,,76,4,-11.0,38.0
112,San Isidro,0,PH,1551851021,57,,,89,4,16.0,121.0
113,Nikolskoye,0,RU,1551851113,84,,,9,11,59.0,30.0
114,Ola,36,RU,1551851120,100,,,11,6,59.0,151.0
115,Klaksvik,0,FO,1551849600,74,,,35,4,62.0,-6.0
116,Nisia Floresta,75,BR,1551848400,94,,,77,5,-6.0,-35.0
117,Mayo,5,CA,1551848400,60,,,5,8,63.0,-135.0
